constr_count,rho_a,rho_b,a_accepts,b_accepts,both_accept,p_a,p_b,p_ap_b,strat,id
4,0.0,0.3333333333333333,2941225,3051228,1528876,0.5198092631471579,0.5010690777614784,0.2604603480970201,Enumeration,d9669406-4
8,0.0,0.3333333333333333,1382976,1566380,224004,0.1619724420380397,0.1430074439152696,0.023163264920574217,Enumeration,8cce13a3-8
23,0.0,0.1111111111111111,48000,64800,48,0.001,0.0007407407407407407,7.407407407407406e-07,Random,87f249a0-23
18,0.0,0.1111111111111111,172800,216000,2160,0.0125,0.01,0.000125,Random,87f249a0-18
11,0.0,0.3333333333333333,846720,932441,76861,0.09077499055177626,0.08242988028196957,0.007482571603779837,Random,d9669406-11
16,0.0,0.3333333333333333,302400,312331,2034,0.006726190476190476,0.0065123218636638685,4.380311729726293e-05,Random,d9669406-16
21,0.4444444444444444,0.2222222222222222,70474,103680,53,0.0007520504015665352,0.0005111882716049383,3.8443934493659686e-07,Random,87f249a0-21
19,0.3333333333333333,0.5555555555555556,129553,104805,0,0.0,0.0,0.0,Random,d9669406-19
15,0.6666666666666666,0.2222222222222222,185002,419909,8,4.324277575377562e-05,1.9051746926119707e-05,8.238504200438787e-10,Random,87f249a0-15
10,0.0,0.6666666666666666,987840,188220,486,0.0004919825072886297,0.0025820847943895447,1.2703405511756138e-06,Random,87f249a0-10
20,0.0,0.6666666666666666,86400,38834,0,0.0,0.0,0.0,Random,87f249a0-20
6,0.0,0.1111111111111111,2016840,2222640,661500,0.32798833819241985,0.2976190476190476,0.0976155768429821,Enumeration,87f249a0-6
21,0.0,0.6666666666666666,72000,35286,0,0.0,0.0,0.0,Random,d9669406-21
7,0.0,0.5555555555555556,1613472,934345,61138,0.037892197695404695,0.0654340741374974,0.0024794408732338197,Random,8cce13a3-7
16,0.0,0.0,302400,315000,3600,0.011904761904761904,0.011428571428571429,0.00013605442176870748,Random,d9669406-16
22,0.0,0.6666666666666666,60000,29746,0,0.0,0.0,0.0,Random,d9669406-22
6,0.7777777777777777,0.6666666666666666,77038,346230,3,3.8941820919546206e-05,8.664760419374404e-06,3.3742154856205004e-10,Random,8cce13a3-6
1,0.0,0.7777777777777777,4941258,63677,39938,0.008082557113998095,0.6271966330072083,0.0050693526079880645,Random,87f249a0-1
22,0.0,0.2222222222222222,60000,86400,144,0.0024,0.0016666666666666668,4e-06,Enumeration,87f249a0-22
18,0.0,0.2222222222222222,172800,216000,2160,0.0125,0.01,0.000125,Enumeration,d9669406-18
19,0.0,0.6666666666666666,129600,44266,0,0.0,0.0,0.0,Enumeration,d9669406-19
18,0.1111111111111111,0.4444444444444444,172800,191303,5,2.8935185185185186e-05,2.6136547780223e-05,7.562658501221932e-10,Random,87f249a0-18
17,0.0,0.5555555555555556,201600,141841,0,0.0,0.0,0.0,Random,87f249a0-17
