id,constr_count,rho_a,rho_b,a_accepts,b_accepts,both_accept,p_a,p_b,p_ap_b,success,total_message_count,n_constraints,n_constraints_discovered,n_constraints_opponent_discovered,strat,utility,opponent_utility,opponent_strat
/home/sam/Documents/code/work/pyneg/src/scenarios/c6e41d5e-8502-4bee-989a-637e1a6a4e16,8,0.0,0.0,432,432,18,0.04166666666666666,0.04166666666666666,0.001736111111111111,True,2,8,0,0,Enumeration,84.6,-1000.0,Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,8,1.0,0.0,1,432,0,0.0,0.0,0.0,False,4,8,1,0,Constrained Enumeration,-16777216.0,-16777216.0,Constrained Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,9,1.0,1.0,1,1,0,0.0,0.0,0.0,False,7,9,3,2,Constrained Random,-16777216.0,-16777216.0,Constrained Random
/home/sam/Documents/code/work/pyneg/src/scenarios/c6e41d5e-8502-4bee-989a-637e1a6a4e16,0,1.0,0.0,1,3125,1,1.0,0.00032,0.00032,False,2,0,0,0,Constrained Random,-16777216.0,-16777216.0,Constrained Random
/home/sam/Documents/code/work/pyneg/src/scenarios/c6e41d5e-8502-4bee-989a-637e1a6a4e16,2,1.0,1.0,1,1,0,0.0,0.0,0.0,False,4,2,0,0,Enumeration,-16777216.0,-16777216.0,Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/c6e41d5e-8502-4bee-989a-637e1a6a4e16,3,0.0,1.0,1600,1,0,0.0,0.0,0.0,False,2,3,0,0,Random,-16777216.0,-16777216.0,Random
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,8,0.0,1.0,432,1,0,0.0,0.0,0.0,False,4,8,1,1,Constrained Enumeration,-16777216.0,-16777216.0,Constrained Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,10,1.0,1.0,1,1,0,0.0,0.0,0.0,False,4,10,0,0,Enumeration,-16777216.0,-16777216.0,Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,13,0.0,0.0,48,54,0,0.0,0.0,0.0,False,5,13,2,1,Constrained Enumeration,-16777216.0,-16777216.0,Constrained Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,7,1.0,0.0,1,540,0,0.0,0.0,0.0,False,7,7,3,2,Constrained Random,-16777216.0,-16777216.0,Constrained Random
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,3,0.0,0.0,1600,1600,768,0.48,0.48,0.2304,True,5,3,2,1,Constrained Enumeration,21.8,21.200000000000003,Constrained Enumeration
/home/sam/Documents/code/work/pyneg/src/scenarios/c6e41d5e-8502-4bee-989a-637e1a6a4e16,2,0.0,0.0,2000,2000,1280,0.64,0.64,0.4096,True,2,2,0,0,Random,-153.4,58.2,Random
/home/sam/Documents/code/work/pyneg/src/scenarios/2f2150cc-56c7-4ebd-bb6f-c42902f8ba3a,5,0.0,1.0,1024,1,0,0.0,0.0,0.0,False,4,5,1,1,Constrained Enumeration,-16777216.0,-16777216.0,Constrained Enumeration
